Uniq_id,SKU,Name,Description,Price,Av_Score
703ef6354e20ac474abcbc2bae0992e0,pp5007320166,Danny & Nicole® Sleeveless Striped Colorblock Fit-and-Flare Dress,"The chic colorblock design and flattering fit make our sleeveless fit-and-flare dress the perfect pick. scoopneck sleeveless exposed back zip 35¾ length from shoulder polyester/spandex machine wash, line dry imported",87.02,3
170062a9735ce152d16674303ee1adc5,pp5007320166,Danny & Nicole® Sleeveless Striped Colorblock Fit-and-Flare Dress,"The chic colorblock design and flattering fit make our sleeveless fit-and-flare dress the perfect pick. scoopneck sleeveless exposed back zip 35¾ length from shoulder polyester/spandex machine wash, line dry imported",87.02,1
962e6fd084c0777f04e1a1136944bc65,pp5007320166,Danny & Nicole® Sleeveless Striped Colorblock Fit-and-Flare Dress,"The chic colorblock design and flattering fit make our sleeveless fit-and-flare dress the perfect pick. scoopneck sleeveless exposed back zip 35¾ length from shoulder polyester/spandex machine wash, line dry imported",87.02,2
15e0ab0273b9ab3b68af05c07d78e90f,pp5007320166,Danny & Nicole® Sleeveless Striped Colorblock Fit-and-Flare Dress,"The chic colorblock design and flattering fit make our sleeveless fit-and-flare dress the perfect pick. scoopneck sleeveless exposed back zip 35¾ length from shoulder polyester/spandex machine wash, line dry imported",87.02,3
1d448fa0665ae1b17590810eb087fb1b,pp5006334382,Danny & Nicole® Sleeveless Striped Fit-and-Flare Dress - Petite,Our absolutely charming fit-and-flare dress sings with bright stripes and a few contrast ones thrown in to add a lovely mystique.   squareneck sleeveless exposed back zipper belt included approx. 35 length from shoulder polyester washable imported,87.02,3
4703811451655ba1e298953ac2e1a098,pp5006334382,Danny & Nicole® Sleeveless Striped Fit-and-Flare Dress - Petite,Our absolutely charming fit-and-flare dress sings with bright stripes and a few contrast ones thrown in to add a lovely mystique.   squareneck sleeveless exposed back zipper belt included approx. 35 length from shoulder polyester washable imported,87.02,3
ab377f6655909713cf6c516a77a4473a,pp5006081664,Danny & Nicole® Sleeveless Striped Shantung Fit-and-Flare Dress - Petite,"Youll be on their minds long after youve left in the vibrant hues of our striped shantung dress, complete with a grosgrain belt and exposed back zipper. extended shoulders exposed back zipper ribbon bow-belt 36½ length from shoulder shantung polyester lined machine wash, line dry imported",87.02,2
e6d507d37586b24d789006129520d78e,pp5007150083,Danny & Nicole® Sleeveless Stripe Fit-and-Flare Dress - Plus,"Our figure-flattering fit-and-flare dress is designed in a bold stripe fabric with on-trend mixed materials. scoopneck sleeveless exposed zipper in back 43 length from shoulder polyester/spandex machine wash, line dry imported",103.94,4
bb95c76db841e59342547712ddf8f5f9,pp5007150083,Danny & Nicole® Sleeveless Stripe Fit-and-Flare Dress - Plus,"Our figure-flattering fit-and-flare dress is designed in a bold stripe fabric with on-trend mixed materials. scoopneck sleeveless exposed zipper in back 43 length from shoulder polyester/spandex machine wash, line dry imported",103.94,2.5
73897029b6b934b725bc2ea7febf4209,pp5007150083,Danny & Nicole® Sleeveless Stripe Fit-and-Flare Dress - Plus,"Our figure-flattering fit-and-flare dress is designed in a bold stripe fabric with on-trend mixed materials. scoopneck sleeveless exposed zipper in back 43 length from shoulder polyester/spandex machine wash, line dry imported",103.94,2
1da4f72882e8b91189342aa912ed45a3,pp5005740108,Azul by Maxine of Hollywood Flyaway Tankini Swim Top,"Go for bold with our black-and-white print tankini swim top featuring a flyaway front for maximum beach fun. soft cups partially lined nylon/LYCRA® spandex hand wash, line dry imported",55.6,1
