statecode,state,uniq_id,name_title,category,brand,review_count,avg_score
MP,Northern Mariana Islands,2a1b560bb7c0b15ff6523329e8a48792,Stafford® Classic Tuxedo,tuxedos & formal wear,STAFFORD,4,3.0
NJ,New Jersey,9a9dd9a7137f0c8f3942056f0edc9e20,"GE Profile™ 18"" Dishwasher",dishwashers,GE,5,3.8
