category,sentiment,count
azul,Neutral,14
azul,Positive,20
baby,Positive,1
baby & toddler clothing,Neutral,1
baby & toddler clothing,Positive,1
baby bedding,Negative,1
baby boy clothes 0-24 months,Negative,2
baby boy clothes 0-24 months,Neutral,1
baby boy clothes 0-24 months,Positive,5
baby essentials,Negative,8
baby essentials,Neutral,6
baby essentials,Positive,16
baby furniture,Negative,13
baby furniture,Neutral,6
baby furniture,Positive,9
baby gifts,Negative,4
baby gifts,Neutral,1
baby gifts,Positive,7
baby girl 0-24 months,Negative,1
baby girl clothes 0-24 months,Negative,1
baby girl clothes 0-24 months,Neutral,2
baby girl clothes 0-24 months,Positive,1
baby monitors,Negative,1
baby monitors,Positive,1
baby shower,Neutral,2
baby's coats & jackets,Neutral,1
baby's coats & jackets,Positive,1
baby's shorts,Negative,3
baby's shorts,Neutral,2
baby's shorts,Positive,5
baby's sleepwear,Negative,1
baby's swimwear,Neutral,1
backpacks,Negative,1
backpacks,Neutral,2
backpacks,Positive,6
backpacks & bags,Negative,5
backpacks & bags,Neutral,2
backpacks & bags,Positive,3
bags and backpacks,Negative,2
bags and backpacks,Neutral,1
bakeware,Negative,3
bakeware,Positive,1
balconette bras,Neutral,3
balconette bras,Positive,5
bali,Negative,7
bali,Neutral,4
bali,Positive,2
ballet flats,Negative,3
ballet flats,Positive,3
bar stools,Negative,1
bar stools,Neutral,1
barware + stemware,Negative,1
basic t-shirts,Negative,1
basic t-shirts,Neutral,1
basketball,Negative,4
basketball,Neutral,2
basketball,Positive,5
bath furniture,Negative,1
bath furniture,Neutral,1
bath furniture,Positive,2
bath rugs & bath mats,Negative,11
bath rugs & bath mats,Neutral,8
bath rugs & bath mats,Positive,15
bath rugs & mats,Negative,8
bath rugs & mats,Neutral,2
bath rugs & mats,Positive,6
bath storage,Neutral,1
bath storage,Positive,2
bath towels,Negative,3
bath towels,Neutral,1
bath towels,Positive,5
bath towels & decor,Negative,10
bath towels & decor,Neutral,1
bath towels & decor,Positive,10
bath towels sizes & care tips,Positive,2
bathroom accessories,Negative,30
bathroom accessories,Neutral,9
bathroom accessories,Positive,33
batman vs. superman,Neutral,1
batman vs. superman,Positive,1
bb & cc creams,Negative,3
bb & cc creams,Neutral,1
bb & cc creams,Positive,4
beach towels,Neutral,1
beach towels,Positive,1
bean bag chairs,Negative,7
bean bag chairs,Neutral,8
bean bag chairs,Positive,9
bed & bath,Negative,88
bed & bath,Neutral,45
bed & bath,Positive,77
bed frames,Negative,2
bed frames,Neutral,2
bed frames,Positive,5
bed head,Negative,1
bed skirts,Negative,9
bed skirts,Neutral,3
bed skirts,Positive,8
bedding,Negative,10
bedding,Neutral,5
bedding,Positive,7
bedding sets,Negative,42
bedding sets,Neutral,18
bedding sets,Positive,38
bedroom curtains & decor,Negative,8
bedroom curtains & decor,Neutral,5
bedroom curtains & decor,Positive,3
bedroom sets,Negative,6
bedroom sets,Neutral,1
bedroom sets,Positive,4
beds,Negative,5
beds,Neutral,1
beds,Positive,11
beds & bedroom sets,Negative,1
beds & bedroom sets,Neutral,1
beds & bedroom sets,Positive,2
bedspreads,Negative,6
bedspreads,Positive,2
belle + sky,Negative,4
belle + sky,Positive,3
belts,Negative,5
belts,Neutral,1
belts,Positive,4
belts & accessories,Negative,4
belts & accessories,Neutral,4
belts & accessories,Positive,10
belts & suspenders,Negative,9
belts & suspenders,Neutral,2
belts & suspenders,Positive,2
benches,Negative,2
benches & ottomans,Neutral,2
bermuda,Negative,23
bermuda,Neutral,8
bermuda,Positive,16
big & tall,Negative,12
big & tall,Neutral,6
big & tall,Positive,13
big kid (6-20),Negative,11
big kid (6-20),Neutral,3
big kid (6-20),Positive,16
bijoux bar @ jcp,Negative,1
bijoux bar @ jcp,Positive,1
birthstone jewelry,Negative,13
birthstone jewelry,Neutral,14
birthstone jewelry,Positive,11
bisou bisou,Negative,12
bisou bisou,Neutral,10
bisou bisou,Positive,15
black label by evan picone,Negative,1
blackout curtains & shades,Negative,3
blackout curtains & shades,Neutral,3
blackout curtains & shades,Positive,3
blankets & throws,Negative,12
blankets & throws,Neutral,7
blankets & throws,Positive,10
blazers,Negative,3
blazers,Neutral,4
blazers,Positive,4
blenders & juicers,Negative,16
blenders & juicers,Neutral,8
blenders & juicers,Positive,11
blinds & shades,Negative,5
blinds & shades,Neutral,1
blinds & shades,Positive,2
blush,Negative,17
blush,Neutral,7
blush,Positive,25
boat shoes,Negative,7
boat shoes,Neutral,4
boat shoes,Positive,9
body lotions & body oils,Negative,14
body lotions & body oils,Neutral,3
body lotions & body oils,Positive,10
body wash & shower gel,Negative,3
body wash & shower gel,Neutral,4
body wash & shower gel,Positive,1
boho,Negative,1
boho,Positive,1
bomber jackets,Negative,3
bomber jackets,Neutral,2
bomber jackets,Positive,2
bonus pack socks,Negative,1
bonus pack socks,Positive,1
bootcut,Negative,8
bootcut,Neutral,9
bootcut,Positive,7
boots,Negative,70
boots,Neutral,29
boots,Positive,52
bottoms,Negative,17
bottoms,Neutral,8
bottoms,Positive,6
boutique+,Negative,1
boy's jeans,Negative,3
boy's jeans,Neutral,2
boy's jeans,Positive,6
boy's pants,Negative,8
boy's pants,Neutral,1
boy's pants,Positive,5
boy's shorts,Negative,5
boy's shorts,Neutral,2
boy's shorts,Positive,2
boyfriend,Negative,6
boyfriend,Neutral,3
boyfriend,Positive,7
boys,Negative,5
boys,Neutral,2
boys,Positive,6
boys 2t-5t,Negative,1
boys 2t-5t,Positive,1
boys 4-7,Negative,6
boys 4-7,Neutral,2
boys 4-7,Positive,9
boys 8-20,Negative,8
boys 8-20,Neutral,4
boys 8-20,Positive,10
boys athletic shoes,Negative,1
boys athletic shoes,Positive,2
boys casual shoes,Negative,1
boys casual shoes,Neutral,3
boys casual shoes,Positive,3
boys husky,Negative,49
boys husky,Neutral,21
boys husky,Positive,40
boys shoes,Negative,4
boys shoes,Neutral,2
boys shoes,Positive,6
boys slim,Negative,6
boys slim,Neutral,3
boys slim,Positive,8
boys sneakers,Neutral,1
boys uniform shoes,Neutral,1
boys uniform shoes,Positive,2
bracelets,Negative,5
braided,Neutral,1
braided,Positive,1
bras,Negative,29
bras,Neutral,8
bras,Positive,31
bras $10-$13,Negative,1
bras $10-$13,Positive,1
bras $30 & under,Negative,1
bras $30 & under,Neutral,1
bras $30 & under,Positive,1
bras & accessories,Negative,8
bras & accessories,Neutral,3
bras & accessories,Positive,7
bras & panties,Negative,8
bras & panties,Neutral,2
